file,method,cnp,sex,birthdate,age,error
001_Florența_Nistor.pdf,text,'2590721040758,F,1959-07-21,66,
002_Catrinel_Stan.pdf,ocr,'1520214270723,M,1952-02-14,73,
003_Violeta_Stănescu.pdf,ocr,'1641121389710,M,1964-11-21,61,
004_Grațian_Eftimie.pdf,ocr,'1520928092976,M,1952-09-28,73,
005_Constanța_Niță.pdf,ocr,'2851106075969,F,1985-11-06,40,
006_Caterina_Florea.pdf,ocr,'1860120145098,M,1986-01-20,39,
007_Lucian_Niță.pdf,ocr,'2730508511853,F,1973-05-08,52,
008_Mihail_Diaconu.pdf,text,'6060624292959,F,2006-06-24,19,
009_Sinică_Toma.pdf,text,'1980605324320,M,1998-06-05,27,
010_Nelu_Stănescu.pdf,ocr,'2711212395099,F,1971-12-12,54,
011_Augustina_Ene.pdf,text,'1670823430670,M,1967-08-23,58,
012_Marian_Dima.pdf,ocr,'2681213433560,F,1968-12-13,57,
013_Benone_Dinu.pdf,ocr,'1810107502952,M,1981-01-07,45,
014_Mitruț_Ioniță.pdf,text,'2550315265634,F,1955-03-15,70,
015_Dariana_Stănescu.pdf,ocr,'2950712449066,F,1995-07-12,30,
016_Xenia_Diaconescu.pdf,ocr,'1641108014979,M,1964-11-08,61,
017_Mădălin_Ardelean.pdf,text,'1760912405805,M,1976-09-12,49,
018_Gelu_Voinea.pdf,ocr,'1791126364026,M,1979-11-26,46,
019_Salomea_Pop.pdf,text,'2530403144522,F,1953-04-03,72,
020_Veronica_Ioniță.pdf,ocr,'1501005351045,M,1950-10-05,75,
021_Ioanina_Florea.pdf,ocr,'1890705412595,M,1989-07-05,36,
022_Narcis_Ioniță.pdf,ocr,'5040815314964,M,2004-08-15,21,
023_Tatiana_Oprea.pdf,text,'2970516451668,F,1997-05-16,28,
024_Rafael_Barbu.pdf,text,'2591218027778,F,1959-12-18,66,
025_Horațiu_Nistor.pdf,text,'2830606237913,F,1983-06-06,42,
026_Tania_Dinu.pdf,text,'2900420528083,F,1990-04-20,35,
027_Bogdan_Albu.pdf,ocr,'1620916237490,M,1962-09-16,63,
028_Marin_Stoica.pdf,ocr,'1941012298285,M,1994-10-12,31,
029_Ștefania_Mazilescu.pdf,text,'1800411144959,M,1980-04-11,45,
030_Nicodim_Pop.pdf,text,'2910626420871,F,1991-06-26,34,
031_Crenguța_Gheorghiu.pdf,ocr,'1800314516525,M,1980-03-14,45,
032_Carmen_Ardelean.pdf,text,'1960306090292,M,1996-03-06,29,
033_Tudor_Stoica.pdf,text,'1891016439605,M,1989-10-16,36,
034_Paraschiva_Nemeș.pdf,text,'1501221075402,M,1950-12-21,75,
035_Anabela_Pop.pdf,ocr,'1510507195143,M,1951-05-07,74,
036_Grațiana_Tabacu.pdf,text,'6030302483637,F,2003-03-02,22,
037_Frederic_Ardelean.pdf,text,'6020905351568,F,2002-09-05,23,
038_Paulica_Dima.pdf,text,'1880125521542,M,1988-01-25,37,
039_Andrian_Nistor.pdf,text,'1850111445318,M,1985-01-11,41,
040_Clarisa_Dobre.pdf,text,'5060902161964,M,2006-09-02,19,
041_Anton_Stancu.pdf,ocr,'1980215216288,M,1998-02-15,27,
042_Eugenia_Niță.pdf,text,'2780918524908,F,1978-09-18,47,
043_Basarab_Mazilescu.pdf,ocr,'2850427291416,F,1985-04-27,40,
044_Malvina_Dinu.pdf,text,'1920414052184,M,1992-04-14,33,
045_Ilinca_Dinu.pdf,text,'1951122241474,M,1995-11-22,30,
046_Vlad_Ene.pdf,text,'1970213321673,M,1997-02-13,28,
047_Felix_Stănescu.pdf,ocr,'2710707233271,F,1971-07-07,54,
048_Monica_Ionescu.pdf,text,'2781201253408,F,1978-12-01,47,
049_Fiona_Nistor.pdf,ocr,'1570404062724,M,1957-04-04,68,
050_Rareș_Stoica.pdf,text,'5020728448394,M,2002-07-28,23,
