file,name,cnp,sex_true,birthdate_true,locality,locality_type,judet,pdf_kind
001_Florența_Nistor.pdf,Florența Nistor,2590721040758,F,1959-07-21,Cluj-Napoca,Municipiu,Brasov,text
002_Catrinel_Stan.pdf,Catrinel Stan,1520214270723,M,1952-02-14,Cluj-Napoca,Municipiu,Suceava,scanned
003_Violeta_Stănescu.pdf,Violeta Stănescu,1641121389710,M,1964-11-21,Buzau,Municipiu,Buzau,scanned
004_Grațian_Eftimie.pdf,Grațian Eftimie,1520928092976,M,1952-09-28,Iasi,Municipiu,Suceava,scanned
005_Constanța_Niță.pdf,Constanța Niță,2851106075969,F,1985-11-06,Floresti,Comuna,Timis,scanned
006_Caterina_Florea.pdf,Caterina Florea,1860120145098,M,1986-01-20,Galati,Municipiu,Brasov,scanned
007_Lucian_Niță.pdf,Lucian Niță,2730508511853,F,1973-05-08,Cluj-Napoca,Municipiu,Buzau,scanned
008_Mihail_Diaconu.pdf,Mihail Diaconu,6060624292959,F,2006-06-24,Cluj-Napoca,Municipiu,Cluj,text
009_Sinică_Toma.pdf,Sinică Toma,1980605324320,M,1998-06-05,Floresti,Comuna,Cluj,text
010_Nelu_Stănescu.pdf,Nelu Stănescu,2711212395099,F,1971-12-12,Mioveni,Oras,Prahova,scanned
011_Augustina_Ene.pdf,Augustina Ene,1670823430670,M,1967-08-23,Berceni,Comuna,Constanta,text
012_Marian_Dima.pdf,Marian Dima,2681213433560,F,1968-12-13,Ploiesti,Municipiu,Brasov,scanned
013_Benone_Dinu.pdf,Benone Dinu,1810107502952,M,1981-01-07,Berceni,Comuna,Timis,scanned
014_Mitruț_Ioniță.pdf,Mitruț Ioniță,2550315265634,F,1955-03-15,Popesti-Leordeni,Oras,Iasi,text
015_Dariana_Stănescu.pdf,Dariana Stănescu,2950712449066,F,1995-07-12,Timisoara,Municipiu,Iasi,scanned
016_Xenia_Diaconescu.pdf,Xenia Diaconescu,1641108014979,M,1964-11-08,Iasi,Municipiu,Constanta,scanned
017_Mădălin_Ardelean.pdf,Mădălin Ardelean,1760912405805,M,1976-09-12,Iasi,Municipiu,Suceava,text
018_Gelu_Voinea.pdf,Gelu Voinea,1791126364026,M,1979-11-26,Galati,Municipiu,Galati,scanned
019_Salomea_Pop.pdf,Salomea Pop,2530403144522,F,1953-04-03,Cluj-Napoca,Municipiu,Brasov,text
020_Veronica_Ioniță.pdf,Veronica Ioniță,1501005351045,M,1950-10-05,Buzau,Municipiu,Bucuresti,scanned
021_Ioanina_Florea.pdf,Ioanina Florea,1890705412595,M,1989-07-05,Buzau,Municipiu,Brasov,scanned
022_Narcis_Ioniță.pdf,Narcis Ioniță,5040815314964,M,2004-08-15,Cluj-Napoca,Municipiu,Iasi,scanned
023_Tatiana_Oprea.pdf,Tatiana Oprea,2970516451668,F,1997-05-16,Bucuresti,Municipiu,Timis,text
024_Rafael_Barbu.pdf,Rafael Barbu,2591218027778,F,1959-12-18,Constanta,Municipiu,Cluj,text
025_Horațiu_Nistor.pdf,Horațiu Nistor,2830606237913,F,1983-06-06,Suceava,Municipiu,Suceava,text
026_Tania_Dinu.pdf,Tania Dinu,2900420528083,F,1990-04-20,Mioveni,Oras,Timis,text
027_Bogdan_Albu.pdf,Bogdan Albu,1620916237490,M,1962-09-16,Bucuresti,Municipiu,Constanta,scanned
028_Marin_Stoica.pdf,Marin Stoica,1941012298285,M,1994-10-12,Brasov,Municipiu,Cluj,scanned
029_Ștefania_Mazilescu.pdf,Ștefania Mazilescu,1800411144959,M,1980-04-11,Popesti-Leordeni,Oras,Buzau,text
030_Nicodim_Pop.pdf,Nicodim Pop,2910626420871,F,1991-06-26,Popesti-Leordeni,Oras,Galati,text
031_Crenguța_Gheorghiu.pdf,Crenguța Gheorghiu,1800314516525,M,1980-03-14,Cluj-Napoca,Municipiu,Galati,scanned
032_Carmen_Ardelean.pdf,Carmen Ardelean,1960306090292,M,1996-03-06,Buzau,Municipiu,Prahova,text
033_Tudor_Stoica.pdf,Tudor Stoica,1891016439605,M,1989-10-16,Iasi,Municipiu,Suceava,text
034_Paraschiva_Nemeș.pdf,Paraschiva Nemeș,1501221075402,M,1950-12-21,Galati,Municipiu,Timis,text
035_Anabela_Pop.pdf,Anabela Pop,1510507195143,M,1951-05-07,Mioveni,Oras,Buzau,scanned
036_Grațiana_Tabacu.pdf,Grațiana Tabacu,6030302483637,F,2003-03-02,Floresti,Comuna,Buzau,text
037_Frederic_Ardelean.pdf,Frederic Ardelean,6020905351568,F,2002-09-05,Suceava,Municipiu,Bucuresti,text
038_Paulica_Dima.pdf,Paulica Dima,1880125521542,M,1988-01-25,Iasi,Municipiu,Prahova,text
039_Andrian_Nistor.pdf,Andrian Nistor,1850111445318,M,1985-01-11,Suceava,Municipiu,Prahova,text
040_Clarisa_Dobre.pdf,Clarisa Dobre,5060902161964,M,2006-09-02,Bucuresti,Municipiu,Cluj,text
041_Anton_Stancu.pdf,Anton Stancu,1980215216288,M,1998-02-15,Buzau,Municipiu,Suceava,scanned
042_Eugenia_Niță.pdf,Eugenia Niță,2780918524908,F,1978-09-18,Timisoara,Municipiu,Suceava,text
043_Basarab_Mazilescu.pdf,Basarab Mazilescu,2850427291416,F,1985-04-27,Cluj-Napoca,Municipiu,Galati,scanned
044_Malvina_Dinu.pdf,Malvina Dinu,1920414052184,M,1992-04-14,Mioveni,Oras,Cluj,text
045_Ilinca_Dinu.pdf,Ilinca Dinu,1951122241474,M,1995-11-22,Popesti-Leordeni,Oras,Iasi,text
046_Vlad_Ene.pdf,Vlad Ene,1970213321673,M,1997-02-13,Iasi,Municipiu,Galati,text
047_Felix_Stănescu.pdf,Felix Stănescu,2710707233271,F,1971-07-07,Berceni,Comuna,Brasov,scanned
048_Monica_Ionescu.pdf,Monica Ionescu,2781201253408,F,1978-12-01,Buzau,Municipiu,Constanta,text
049_Fiona_Nistor.pdf,Fiona Nistor,1570404062724,M,1957-04-04,Bucuresti,Municipiu,Iasi,scanned
050_Rareș_Stoica.pdf,Rareș Stoica,5020728448394,M,2002-07-28,Galati,Municipiu,Iasi,text
